datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-23 23:00:00,11.55,-6.8,14.25,101388.0,3.25,-5.3,-6.6,2.0,3.1,0.1,1.62,-16.25,1.64,-1.3,13.12,73.1,17.0,10.35
2015-10-24 02:00:00,9.75,-7.2,14.65,101497.0,2.55002,-5.2,-7.0,-0.8,1.1,-0.4,0.1,-14.65,-0.36,-4.1,13.55,83.8,15.6,10.35
2015-10-24 05:00:00,10.55,-4.6,14.55,101616.0,1.45001,-3.5,-7.46,-4.43,-2.81,-0.4,-0.35,-14.25,-2.13,-6.8,13.69,73.0,12.66,9.45001
2015-10-24 08:00:00,13.02,-2.1,11.15,101978.0,0.75,-0.9,-5.42,-6.3,-11.3,0.9,-4.37,-14.25,-0.59,-2.8,12.74,57.2,11.46,7.35001
2015-10-24 11:00:00,17.75,-0.4,8.75,102207.0,1.35001,-1.3,-1.51,-5.79,-9.07,2.67,-5.88,-15.05,1.12,0.5,16.1,26.6,11.19,5.45001
2015-10-24 14:00:00,18.55,3.7,9.75,102189.0,1.35001,-1.63,0.02,-4.13,-5.43,1.36,-3.27,-14.75,3.89,5.0,17.55,20.3,15.98,4.75
2015-10-24 17:00:00,16.05,2.8,9.35001,102248.0,1.45001,-0.65,-1.11,-4.35,-4.86,0.59,-0.83,-14.85,2.97,5.2,16.55,21.7,13.36,4.15002
2015-10-24 20:00:00,13.55,3.1,8.95001,102422.0,1.05002,1.1,-2.14,-2.43,1.81,1.43,2.56,-14.95,2.7,4.9,14.35,30.6,10.34,4.35001
2015-10-24 23:00:00,11.95,3.6,8.25,102472.0,1.35001,2.48,-0.92,-0.88,2.3,2.56,1.65,-14.85,3.18,3.74,12.65,43.5,9.25,4.65002
2015-10-25 02:00:00,10.95,5.56,7.45001,102510.0,0.150024,4.62,0.05,2.83,1.09,4.33,0.19,-14.75,3.7,6.34,11.75,48.2,9.06,3.85001
2015-10-25 05:00:00,9.85001,4.6,6.75,102532.0,-0.25,4.57,-0.26,3.8,-0.76,5.79,-1.76,-14.25,2.16,5.34,10.65,37.9,9.43,2.85001
